trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
86,-0.02549115336738536,0.009468879538285081,18,61,53,0.5153585676760127,0.15022145622672295,0.9768218145715009,0.2796226747255671,0,0,0,0,0,-9999.0,0,0,0,0,0,0,209.2,ok
87,-0.023484510772452862,0.016686547320345753,25,59,48,0.5822966498564858,0.30839373258560504,0.8277702735027836,0.27273764996632244,0,0,0,0,0,-9999.0,0,0,0,0,0,0,168.9,ok
88,-0.021243674735626647,0.014387880477209899,19,47,51,0.5593805019273325,0.31499271080763114,0.7879962487199702,0.38266207848449985,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,182.1,ok
89,-0.019875721649884184,0.0109157327782117,16,51,45,0.5309042444838695,0.2757187227229492,0.9860497991147233,0.3389011292537394,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,194.0,ok
90,-0.02071254434219815,0.012108939156438663,21,57,44,0.5778039051535645,0.33639022310167177,0.871494185184461,0.2867032699572367,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,171.6,ok
91,-0.021618171357129908,0.011421302390487357,27,55,48,0.32226399713156667,0.21868889463603172,0.8637537519603842,0.2194853798076402,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,175.9,ok
92,-0.02318865996032403,0.012693455090827675,30,54,50,0.37138971385340197,0.32658242854231917,0.9627506737116897,0.24104124881014002,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,163.1,ok
93,-0.02247277066535613,0.010586671318495514,29,52,46,0.3963293955607362,0.22192891885596555,0.8840481961427709,0.2554161107769468,0.0,-3.83,1,-0.0232,0.0699,0.0,0,0,0,0,0,0,152.8,ok
94,-0.01928460357522783,0.011689846540782438,17,58,47,0.31165587717405135,0.17857259782128665,0.8502653154700659,0.22628087468184374,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,190.6,ok
95,-0.01769649395530813,0.011231147611837536,27,54,52,0.29157158937905703,0.3903631970277436,0.7994232814540411,0.21674912685292747,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,138.2,ok
96,-0.0209898917152119,0.009867055118646703,18,53,49,0.3382821769970462,0.23603672817627103,0.8131874091565046,0.26614571470680115,0.0,-3.83,1,-0.0232,0.0699,0.0,0,0,0,0,0,0,172.7,ok
97,-0.023813621806498726,0.013188678950115029,22,56,55,0.5924222485890438,0.19994533953890722,0.5240142945963178,0.2336779225361582,0,0,0,0,0,-9999.0,0,0,0,0,0,0,190.8,ok
98,-0.018791482520567827,0.010350738021958487,23,50,41,0.34772304981504876,0.25465224037085143,0.9236817786987044,0.18693988377905116,0.0,-3.83,1,-0.0232,0.0699,0.0,0,0,0,0,0,0,197.5,ok
99,-0.01713809090713406,0.012387111766227692,16,52,54,0.3924908541381704,0.29222703049342197,0.8994931234440864,0.11466281842972068,0,0,0,0,0,-9999.0,0,0,0,0,0,0,175.9,ok
